aml_pattern_id,typology,pattern_description,transaction_count
AML_PATTERN_0045,FAN-IN,Max 3-degree Fan-In,3
AML_PATTERN_0046,SCATTER-GATHER,Not Provided,14
AML_PATTERN_0047,GATHER-SCATTER,Max 15-degree Fan-In,26
AML_PATTERN_0048,FAN-OUT,Max 1-degree Fan-Out,1
AML_PATTERN_0049,GATHER-SCATTER,Max 13-degree Fan-In,28
AML_PATTERN_0050,FAN-OUT,Max 9-degree Fan-Out,9
AML_PATTERN_0051,FAN-OUT,Max 4-degree Fan-Out,4
AML_PATTERN_0052,FAN-OUT,Max 2-degree Fan-Out,2
AML_PATTERN_0053,BIPARTITE,Not Provided,6
AML_PATTERN_0054,SCATTER-GATHER,Not Provided,2
AML_PATTERN_0055,SCATTER-GATHER,Not Provided,6
AML_PATTERN_0056,BIPARTITE,Not Provided,11
AML_PATTERN_0057,STACK,Not Provided,12
AML_PATTERN_0058,STACK,Not Provided,2
AML_PATTERN_0059,BIPARTITE,Not Provided,1
AML_PATTERN_0060,STACK,Not Provided,2
AML_PATTERN_0061,STACK,Not Provided,30
AML_PATTERN_0062,CYCLE,Max 2 hops,2
AML_PATTERN_0063,CYCLE,Max 6 hops,6
AML_PATTERN_0064,SCATTER-GATHER,Not Provided,30
AML_PATTERN_0065,CYCLE,Max 2 hops,2
AML_PATTERN_0066,RANDOM,Max 2 hops,2
AML_PATTERN_0067,SCATTER-GATHER,Not Provided,14
AML_PATTERN_0068,CYCLE,Max 4 hops,4
AML_PATTERN_0069,CYCLE,Max 2 hops,2
AML_PATTERN_0070,SCATTER-GATHER,Not Provided,2
AML_PATTERN_0071,FAN-OUT,Max 2-degree Fan-Out,2
AML_PATTERN_0072,CYCLE,Max 4 hops,4
AML_PATTERN_0073,SCATTER-GATHER,Not Provided,12
AML_PATTERN_0074,CYCLE,Max 3 hops,3
AML_PATTERN_0075,CYCLE,Max 5 hops,5
AML_PATTERN_0076,BIPARTITE,Not Provided,7
AML_PATTERN_0077,GATHER-SCATTER,Max 10-degree Fan-In,13
AML_PATTERN_0078,FAN-OUT,Max 9-degree Fan-Out,9
AML_PATTERN_0079,RANDOM,Max 9 hops,9
AML_PATTERN_0080,GATHER-SCATTER,Max 14-degree Fan-In,24
AML_PATTERN_0081,SCATTER-GATHER,Not Provided,4
AML_PATTERN_0082,GATHER-SCATTER,Max 12-degree Fan-In,19
AML_PATTERN_0083,SCATTER-GATHER,Not Provided,26
AML_PATTERN_0084,SCATTER-GATHER,Not Provided,18
AML_PATTERN_0085,FAN-OUT,Max 2-degree Fan-Out,2
AML_PATTERN_0086,RANDOM,Max 2 hops,2
AML_PATTERN_0087,FAN-IN,Max 13-degree Fan-In,13
AML_PATTERN_0088,RANDOM,Max 1 hops,1
AML_PATTERN_0089,BIPARTITE,Not Provided,5
AML_PATTERN_0090,CYCLE,Max 2 hops,2
AML_PATTERN_0091,FAN-IN,Max 16-degree Fan-In,16
AML_PATTERN_0092,GATHER-SCATTER,Max 10-degree Fan-In,21
AML_PATTERN_0093,FAN-OUT,Max 11-degree Fan-Out,11
AML_PATTERN_0094,GATHER-SCATTER,Max 15-degree Fan-In,24
AML_PATTERN_0095,BIPARTITE,Not Provided,6
AML_PATTERN_0096,STACK,Not Provided,8
AML_PATTERN_0097,BIPARTITE,Not Provided,1
AML_PATTERN_0098,GATHER-SCATTER,Max 1-degree Fan-In,2
AML_PATTERN_0099,BIPARTITE,Not Provided,2
AML_PATTERN_0100,GATHER-SCATTER,Max 3-degree Fan-In,6
AML_PATTERN_0101,BIPARTITE,Not Provided,1
AML_PATTERN_0102,BIPARTITE,Not Provided,1
AML_PATTERN_0103,CYCLE,Max 3 hops,3
AML_PATTERN_0104,FAN-IN,Max 13-degree Fan-In,13
AML_PATTERN_0105,CYCLE,Max 2 hops,2
AML_PATTERN_0106,FAN-IN,Max 5-degree Fan-In,5
AML_PATTERN_0107,RANDOM,Max 6 hops,6
AML_PATTERN_0108,FAN-IN,Max 3-degree Fan-In,3
AML_PATTERN_0109,SCATTER-GATHER,Not Provided,6
AML_PATTERN_0110,CYCLE,Max 2 hops,2
AML_PATTERN_0111,FAN-OUT,Max 1-degree Fan-Out,1
AML_PATTERN_0112,STACK,Not Provided,4
AML_PATTERN_0113,GATHER-SCATTER,Max 1-degree Fan-In,2
AML_PATTERN_0114,BIPARTITE,Not Provided,2
AML_PATTERN_0115,FAN-IN,Max 10-degree Fan-In,10
AML_PATTERN_0116,GATHER-SCATTER,Max 11-degree Fan-In,20
AML_PATTERN_0117,FAN-OUT,Max 7-degree Fan-Out,7
AML_PATTERN_0118,FAN-OUT,Max 7-degree Fan-Out,7
AML_PATTERN_0119,GATHER-SCATTER,Max 14-degree Fan-In,21
AML_PATTERN_0120,STACK,Not Provided,2
AML_PATTERN_0121,FAN-IN,Max 3-degree Fan-In,3
AML_PATTERN_0122,BIPARTITE,Not Provided,3
AML_PATTERN_0123,RANDOM,Max 11 hops,11
AML_PATTERN_0124,FAN-OUT,Max 4-degree Fan-Out,4
AML_PATTERN_0125,SCATTER-GATHER,Not Provided,26
AML_PATTERN_0126,FAN-IN,Max 12-degree Fan-In,12
AML_PATTERN_0127,CYCLE,Max 3 hops,3
AML_PATTERN_0128,SCATTER-GATHER,Not Provided,24
AML_PATTERN_0129,CYCLE,Max 7 hops,7
AML_PATTERN_0130,FAN-IN,Max 3-degree Fan-In,3
AML_PATTERN_0131,CYCLE,Max 11 hops,11
AML_PATTERN_0132,FAN-IN,Max 10-degree Fan-In,10
AML_PATTERN_0133,FAN-OUT,Max 1-degree Fan-Out,1
AML_PATTERN_0134,BIPARTITE,Not Provided,1
AML_PATTERN_0135,SCATTER-GATHER,Not Provided,2
AML_PATTERN_0136,BIPARTITE,Not Provided,7
AML_PATTERN_0137,FAN-OUT,Max 9-degree Fan-Out,9
AML_PATTERN_0138,CYCLE,Max 11 hops,11
AML_PATTERN_0139,FAN-OUT,Max 2-degree Fan-Out,2
AML_PATTERN_0140,RANDOM,Max 1 hops,1
AML_PATTERN_0141,GATHER-SCATTER,Max 2-degree Fan-In,5
AML_PATTERN_0142,STACK,Not Provided,28
AML_PATTERN_0143,CYCLE,Max 2 hops,2
AML_PATTERN_0144,SCATTER-GATHER,Not Provided,26
AML_PATTERN_0145,STACK,Not Provided,2
AML_PATTERN_0146,STACK,Not Provided,16
AML_PATTERN_0147,FAN-IN,Max 13-degree Fan-In,13
AML_PATTERN_0148,GATHER-SCATTER,Max 12-degree Fan-In,27
AML_PATTERN_0149,STACK,Not Provided,14
AML_PATTERN_0150,SCATTER-GATHER,Not Provided,26
AML_PATTERN_0151,BIPARTITE,Not Provided,12
AML_PATTERN_0152,FAN-IN,Max 16-degree Fan-In,16
AML_PATTERN_0153,RANDOM,Max 10 hops,10
AML_PATTERN_0154,STACK,Not Provided,2
AML_PATTERN_0155,CYCLE,Max 4 hops,4
AML_PATTERN_0156,GATHER-SCATTER,Max 2-degree Fan-In,17
AML_PATTERN_0157,SCATTER-GATHER,Not Provided,2
AML_PATTERN_0158,RANDOM,Max 2 hops,2
AML_PATTERN_0159,SCATTER-GATHER,Not Provided,2
AML_PATTERN_0160,CYCLE,Max 2 hops,2
AML_PATTERN_0161,FAN-IN,Max 1-degree Fan-In,1
AML_PATTERN_0162,STACK,Not Provided,2
AML_PATTERN_0163,BIPARTITE,Not Provided,15
AML_PATTERN_0164,RANDOM,Max 7 hops,7
AML_PATTERN_0165,GATHER-SCATTER,Max 1-degree Fan-In,2
AML_PATTERN_0166,RANDOM,Max 1 hops,1
AML_PATTERN_0167,CYCLE,Max 3 hops,3
AML_PATTERN_0168,BIPARTITE,Not Provided,3
AML_PATTERN_0169,SCATTER-GATHER,Not Provided,14
AML_PATTERN_0170,SCATTER-GATHER,Not Provided,24
AML_PATTERN_0171,GATHER-SCATTER,Max 1-degree Fan-In,2
AML_PATTERN_0172,CYCLE,Max 3 hops,3
AML_PATTERN_0173,BIPARTITE,Not Provided,7
AML_PATTERN_0174,CYCLE,Max 4 hops,4
AML_PATTERN_0175,STACK,Not Provided,2
AML_PATTERN_0176,STACK,Not Provided,26
AML_PATTERN_0177,GATHER-SCATTER,Max 10-degree Fan-In,14
AML_PATTERN_0178,CYCLE,Max 3 hops,3
AML_PATTERN_0179,RANDOM,Max 8 hops,8
AML_PATTERN_0180,BIPARTITE,Not Provided,5
AML_PATTERN_0181,GATHER-SCATTER,Max 3-degree Fan-In,6
AML_PATTERN_0182,CYCLE,Max 10 hops,10
AML_PATTERN_0183,GATHER-SCATTER,Max 2-degree Fan-In,4
AML_PATTERN_0184,FAN-IN,Max 6-degree Fan-In,6
AML_PATTERN_0185,SCATTER-GATHER,Not Provided,4
AML_PATTERN_0186,STACK,Not Provided,24
AML_PATTERN_0187,FAN-IN,Max 15-degree Fan-In,15
AML_PATTERN_0188,FAN-OUT,Max 3-degree Fan-Out,3
AML_PATTERN_0189,SCATTER-GATHER,Not Provided,2
AML_PATTERN_0190,CYCLE,Max 2 hops,2
AML_PATTERN_0191,STACK,Not Provided,14
AML_PATTERN_0192,RANDOM,Max 8 hops,8
AML_PATTERN_0193,CYCLE,Max 8 hops,8
AML_PATTERN_0194,RANDOM,Max 4 hops,4
AML_PATTERN_0195,STACK,Not Provided,6
AML_PATTERN_0196,GATHER-SCATTER,Max 10-degree Fan-In,22
AML_PATTERN_0197,RANDOM,Max 1 hops,1
AML_PATTERN_0198,STACK,Not Provided,10
AML_PATTERN_0199,FAN-OUT,Max 7-degree Fan-Out,7
AML_PATTERN_0200,FAN-OUT,Max 1-degree Fan-Out,1
AML_PATTERN_0201,RANDOM,Max 2 hops,2
AML_PATTERN_0202,GATHER-SCATTER,Max 1-degree Fan-In,2
AML_PATTERN_0203,RANDOM,Max 2 hops,2
AML_PATTERN_0204,BIPARTITE,Not Provided,4
AML_PATTERN_0205,SCATTER-GATHER,Not Provided,26
AML_PATTERN_0206,RANDOM,Max 8 hops,8
AML_PATTERN_0207,RANDOM,Max 3 hops,3
AML_PATTERN_0208,FAN-OUT,Max 4-degree Fan-Out,4
AML_PATTERN_0209,FAN-IN,Max 2-degree Fan-In,2
AML_PATTERN_0210,STACK,Not Provided,16
AML_PATTERN_0211,FAN-IN,Max 11-degree Fan-In,11
AML_PATTERN_0212,FAN-OUT,Max 16-degree Fan-Out,16
AML_PATTERN_0213,SCATTER-GATHER,Not Provided,16
AML_PATTERN_0214,STACK,Not Provided,4
AML_PATTERN_0215,GATHER-SCATTER,Max 15-degree Fan-In,21
AML_PATTERN_0216,FAN-OUT,Max 13-degree Fan-Out,13
AML_PATTERN_0217,RANDOM,Max 1 hops,1
AML_PATTERN_0218,CYCLE,Max 12 hops,12
AML_PATTERN_0219,FAN-OUT,Max 16-degree Fan-Out,16
AML_PATTERN_0220,CYCLE,Max 7 hops,7
AML_PATTERN_0221,RANDOM,Max 10 hops,10
AML_PATTERN_0222,GATHER-SCATTER,Max 2-degree Fan-In,5
AML_PATTERN_0223,CYCLE,Max 4 hops,4
AML_PATTERN_0224,FAN-OUT,Max 1-degree Fan-Out,1
AML_PATTERN_0225,FAN-OUT,Max 1-degree Fan-Out,1
AML_PATTERN_0226,STACK,Not Provided,22
AML_PATTERN_0227,SCATTER-GATHER,Not Provided,6
AML_PATTERN_0228,SCATTER-GATHER,Not Provided,18
AML_PATTERN_0229,GATHER-SCATTER,Max 6-degree Fan-In,12
AML_PATTERN_0230,CYCLE,Max 4 hops,4
AML_PATTERN_0231,STACK,Not Provided,12
AML_PATTERN_0232,CYCLE,Max 7 hops,7
AML_PATTERN_0233,RANDOM,Max 1 hops,1
AML_PATTERN_0234,BIPARTITE,Not Provided,8
AML_PATTERN_0235,STACK,Not Provided,2
AML_PATTERN_0236,SCATTER-GATHER,Not Provided,26
AML_PATTERN_0237,FAN-OUT,Max 6-degree Fan-Out,6
AML_PATTERN_0238,RANDOM,Max 1 hops,1
AML_PATTERN_0239,STACK,Not Provided,14
AML_PATTERN_0240,STACK,Not Provided,30
AML_PATTERN_0241,SCATTER-GATHER,Not Provided,2
AML_PATTERN_0242,BIPARTITE,Not Provided,13
AML_PATTERN_0243,FAN-OUT,Max 2-degree Fan-Out,2
AML_PATTERN_0244,FAN-OUT,Max 2-degree Fan-Out,2
AML_PATTERN_0245,BIPARTITE,Not Provided,12
AML_PATTERN_0246,CYCLE,Max 3 hops,3
AML_PATTERN_0247,FAN-OUT,Max 13-degree Fan-Out,13
AML_PATTERN_0248,CYCLE,Max 5 hops,5
AML_PATTERN_0249,CYCLE,Max 5 hops,5
AML_PATTERN_0250,FAN-OUT,Max 2-degree Fan-Out,2
AML_PATTERN_0251,FAN-IN,Max 8-degree Fan-In,8
AML_PATTERN_0252,FAN-OUT,Max 14-degree Fan-Out,14
AML_PATTERN_0253,FAN-IN,Max 8-degree Fan-In,8
AML_PATTERN_0254,FAN-OUT,Max 12-degree Fan-Out,12
AML_PATTERN_0255,SCATTER-GATHER,Not Provided,12
AML_PATTERN_0256,STACK,Not Provided,16
AML_PATTERN_0257,BIPARTITE,Not Provided,1
AML_PATTERN_0258,CYCLE,Max 8 hops,8
AML_PATTERN_0259,GATHER-SCATTER,Max 3-degree Fan-In,6
AML_PATTERN_0260,STACK,Not Provided,10
AML_PATTERN_0261,STACK,Not Provided,2
AML_PATTERN_0262,STACK,Not Provided,14
AML_PATTERN_0263,CYCLE,Max 2 hops,2
AML_PATTERN_0264,RANDOM,Max 6 hops,6
AML_PATTERN_0265,BIPARTITE,Not Provided,13
AML_PATTERN_0266,STACK,Not Provided,16
AML_PATTERN_0267,BIPARTITE,Not Provided,1
AML_PATTERN_0268,BIPARTITE,Not Provided,1
AML_PATTERN_0269,SCATTER-GATHER,Not Provided,26
AML_PATTERN_0270,FAN-IN,Max 13-degree Fan-In,13
AML_PATTERN_0271,SCATTER-GATHER,Not Provided,22
AML_PATTERN_0272,SCATTER-GATHER,Not Provided,12
AML_PATTERN_0273,GATHER-SCATTER,Max 9-degree Fan-In,14
AML_PATTERN_0274,FAN-IN,Max 10-degree Fan-In,10
AML_PATTERN_0275,BIPARTITE,Not Provided,1
AML_PATTERN_0276,CYCLE,Max 2 hops,2
AML_PATTERN_0277,FAN-IN,Max 3-degree Fan-In,3
AML_PATTERN_0278,BIPARTITE,Not Provided,9
AML_PATTERN_0279,RANDOM,Max 1 hops,1
AML_PATTERN_0280,RANDOM,Max 1 hops,1
AML_PATTERN_0281,GATHER-SCATTER,Max 7-degree Fan-In,9
AML_PATTERN_0282,CYCLE,Max 8 hops,8
AML_PATTERN_0283,FAN-OUT,Max 7-degree Fan-Out,7
AML_PATTERN_0284,STACK,Not Provided,14
AML_PATTERN_0285,FAN-IN,Max 16-degree Fan-In,16
AML_PATTERN_0286,FAN-IN,Max 2-degree Fan-In,2
AML_PATTERN_0287,BIPARTITE,Not Provided,1
AML_PATTERN_0288,SCATTER-GATHER,Not Provided,26
AML_PATTERN_0289,FAN-IN,Max 2-degree Fan-In,2
AML_PATTERN_0290,RANDOM,Max 8 hops,8
AML_PATTERN_0291,RANDOM,Max 5 hops,5
AML_PATTERN_0292,BIPARTITE,Not Provided,1
AML_PATTERN_0293,CYCLE,Max 11 hops,11
AML_PATTERN_0294,SCATTER-GATHER,Not Provided,4
AML_PATTERN_0295,CYCLE,Max 10 hops,10
AML_PATTERN_0296,CYCLE,Max 7 hops,7
AML_PATTERN_0297,SCATTER-GATHER,Not Provided,2
AML_PATTERN_0298,FAN-IN,Max 11-degree Fan-In,11
AML_PATTERN_0299,SCATTER-GATHER,Not Provided,6
AML_PATTERN_0300,GATHER-SCATTER,Max 10-degree Fan-In,22
AML_PATTERN_0301,GATHER-SCATTER,Max 1-degree Fan-In,2
AML_PATTERN_0302,BIPARTITE,Not Provided,9
AML_PATTERN_0303,BIPARTITE,Not Provided,1
AML_PATTERN_0304,GATHER-SCATTER,Max 12-degree Fan-In,27
AML_PATTERN_0305,FAN-IN,Max 13-degree Fan-In,13
AML_PATTERN_0306,GATHER-SCATTER,Max 12-degree Fan-In,26
AML_PATTERN_0307,FAN-OUT,Max 16-degree Fan-Out,16
AML_PATTERN_0308,GATHER-SCATTER,Max 2-degree Fan-In,8
AML_PATTERN_0309,GATHER-SCATTER,Max 7-degree Fan-In,11
AML_PATTERN_0310,FAN-IN,Max 1-degree Fan-In,1
AML_PATTERN_0311,FAN-IN,Max 1-degree Fan-In,1
AML_PATTERN_0312,FAN-OUT,Max 1-degree Fan-Out,1
AML_PATTERN_0313,FAN-OUT,Max 3-degree Fan-Out,3
AML_PATTERN_0314,BIPARTITE,Not Provided,4
AML_PATTERN_0315,RANDOM,Max 1 hops,1
AML_PATTERN_0316,FAN-OUT,Max 11-degree Fan-Out,11
AML_PATTERN_0317,SCATTER-GATHER,Not Provided,24
AML_PATTERN_0318,FAN-OUT,Max 1-degree Fan-Out,1
AML_PATTERN_0319,FAN-OUT,Max 8-degree Fan-Out,8
AML_PATTERN_0320,FAN-OUT,Max 15-degree Fan-Out,15
AML_PATTERN_0321,GATHER-SCATTER,Max 10-degree Fan-In,25
AML_PATTERN_0322,GATHER-SCATTER,Max 1-degree Fan-In,2
AML_PATTERN_0323,RANDOM,Max 9 hops,9
AML_PATTERN_0324,CYCLE,Max 10 hops,10
AML_PATTERN_0325,GATHER-SCATTER,Max 15-degree Fan-In,17
AML_PATTERN_0326,SCATTER-GATHER,Not Provided,2
AML_PATTERN_0327,RANDOM,Max 3 hops,3
AML_PATTERN_0328,STACK,Not Provided,2
AML_PATTERN_0329,RANDOM,Max 11 hops,11
AML_PATTERN_0330,BIPARTITE,Not Provided,1
AML_PATTERN_0331,GATHER-SCATTER,Max 14-degree Fan-In,26
AML_PATTERN_0332,GATHER-SCATTER,Max 2-degree Fan-In,17
AML_PATTERN_0333,RANDOM,Max 8 hops,8
AML_PATTERN_0334,SCATTER-GATHER,Not Provided,32
AML_PATTERN_0335,CYCLE,Max 2 hops,2
AML_PATTERN_0336,SCATTER-GATHER,Not Provided,2
AML_PATTERN_0337,CYCLE,Max 4 hops,4
AML_PATTERN_0338,BIPARTITE,Not Provided,6
AML_PATTERN_0339,SCATTER-GATHER,Not Provided,2
AML_PATTERN_0340,FAN-IN,Max 5-degree Fan-In,5
AML_PATTERN_0341,RANDOM,Max 10 hops,10
AML_PATTERN_0342,RANDOM,Max 8 hops,8
AML_PATTERN_0343,STACK,Not Provided,2
AML_PATTERN_0344,BIPARTITE,Not Provided,8
AML_PATTERN_0345,GATHER-SCATTER,Max 2-degree Fan-In,15
AML_PATTERN_0346,GATHER-SCATTER,Max 8-degree Fan-In,22
AML_PATTERN_0347,FAN-IN,Max 6-degree Fan-In,6
AML_PATTERN_0348,BIPARTITE,Not Provided,9
AML_PATTERN_0349,FAN-IN,Max 13-degree Fan-In,13
AML_PATTERN_0350,CYCLE,Max 8 hops,8
AML_PATTERN_0351,RANDOM,Max 1 hops,1
AML_PATTERN_0352,FAN-IN,Max 8-degree Fan-In,8
AML_PATTERN_0353,FAN-OUT,Max 13-degree Fan-Out,13
AML_PATTERN_0354,FAN-OUT,Max 10-degree Fan-Out,10
AML_PATTERN_0355,STACK,Not Provided,2
AML_PATTERN_0356,SCATTER-GATHER,Not Provided,14
AML_PATTERN_0357,CYCLE,Max 11 hops,11
AML_PATTERN_0358,BIPARTITE,Not Provided,1
AML_PATTERN_0359,STACK,Not Provided,10
AML_PATTERN_0360,GATHER-SCATTER,Max 13-degree Fan-In,26
AML_PATTERN_0361,SCATTER-GATHER,Not Provided,28
AML_PATTERN_0362,GATHER-SCATTER,Max 3-degree Fan-In,6
AML_PATTERN_0363,STACK,Not Provided,2
AML_PATTERN_0364,RANDOM,Max 1 hops,1
AML_PATTERN_0365,GATHER-SCATTER,Max 5-degree Fan-In,7
AML_PATTERN_0366,BIPARTITE,Not Provided,1
AML_PATTERN_0367,CYCLE,Max 3 hops,3
AML_PATTERN_0368,FAN-IN,Max 12-degree Fan-In,12
AML_PATTERN_0369,RANDOM,Max 1 hops,1
AML_PATTERN_0370,BIPARTITE,Not Provided,1
