bank_id,bank_name
3581,Italy Bank #209
3582,Italy Bank #3941
3586,Spain Bank #175
3587,National Bank of Madison
3590,Oasis Trust Bank
3592,Flagstone Trust Bank
3593,Savings Bank of Newport
3595,National Bank of Lacrosse
3596,Bank of Providence
3597,Heath Community Bank
3600,Savings Bank of Augusta
3601,Bank of Madison
3602,First Bank of Portland
3603,First Bank of Portsmouth
3605,Germany Bank #366
3607,Savings Bank of Springfield
3608,National Bank of Los Angeles
3615,Golden Savings Bank
3618,National Bank of Albany
3619,First Bank of Hartford
3622,Savings Bank of Portland
3624,First Bank of Detroit
3626,National Bank of Harrisburg
3628,Savings Bank of Dallas
3630,Savings Bank of Pittsburgh
3632,Bank of Seattle
3633,Savings Bank of the North
3639,Savings Bank of Billings
3641,National Bank of Newbury
3646,Slovakia Bank #183
3647,Slovakia Bank #184
3650,China Bank #70
3652,China Bank #72
3653,China Bank #862
3655,Netherlands Bank #72
3657,Spain Bank #186
3659,Italy Bank #4806
3660,France Bank #4547
3662,Italy Bank #4938
3663,Spain Bank #193
3664,Germany Bank #190
3666,France Bank #3325
3672,First Bank of Arkadelphia
3673,Sunrise Community Bank
3675,Hilltop Credit Union
3676,First Bank of Denver
3677,National Bank of Columbus
3678,National Bank of Indianapolis
3679,Sappo Cooperative Bank
3680,Savings Bank of Phoenix
3683,National Bank of the West
3685,First Bank of New Orleans
3688,Dawn Bancorp
3689,Plateau Federal Bank
3690,Slovakia Bank #1007
3693,Bank of the South
3695,First Bank of Los Angeles
3698,First Bank of Springfield
3699,First Bank of Laramie
3700,National Bank of Indianapolis
3701,First Bank of Lincoln
3702,National Bank of the East
3703,First Bank of Cleveland
3704,Baltech Bank
3705,First Bank of the West
3706,Regents Bancorp
3707,First Bank of Columbus
3708,National Bank of Bridgeport
3709,National Bank of Harrisburg
3710,Capital Bank
3711,National Bank of Portland
3712,Heath Savings Bank
3715,Sappo Bank
3717,Sappo Cooperative Bank
3718,Savings Bank of Springfield
3727,Savings Bank of Chicago
3730,Bank of the Valley
3731,First Bank of Danbury
3732,Bank of Sacramento
3735,Bank of Milford
3737,City National Trust Bank
3742,Savings Bank of Tampa
3744,Bank of Dallas
3745,Arbor Thrift
3746,Savings Bank of Providence
3747,First Bank of Cleveland
3748,Desert Cooperative Bank
3749,First Bank of Fairfield
3753,Bank of Cleveland
3755,Bank of Philadelphia
3760,Savings Bank of Chicago
3762,National Bank of Los Angeles
3763,Baltech Savings Bank
3764,Bank of Montpelier
3767,Croatia Bank #3919
3769,Austria Bank #188
3777,Spain Bank #368
3780,Germany Bank #244
3781,Greece Bank #3927
3784,First Bank of the East
3785,Bank of Dallas
3787,Desert Federal Bank
3788,Portugal Bank #211
3790,Bank of Portland
3792,Baltech Trust Bank
3793,Dawn Federal Bank
3794,First Bank of the Valley
3796,City National Thrift
3799,Sunrise Cooperative Bank
3800,Baltech Thrift
3801,Brownstone Cooperative Bank
3802,Bank of Chicago
3805,First Bank of Omaha
3806,Oasis Federal Bank
3808,First Bank of Sacramento
3810,First Bank of Providence
3812,National Bank of the Valley
3820,Oak Federal Bank
3821,Bank of Lincoln
3823,Savings Bank of Philadelphia
3824,Bank of Lacrosse
3829,Desert Federal Bank
3831,Savings Bank of Tuscon
3832,National Bank of Indianapolis
3836,National Bank of Denver
3837,First Bank of Helena
3838,National Bank of Portsmouth
3839,Fieldstone Savings Bank
3842,Brownstone Savings Bank
3843,First Bank of Newport
3849,Germany Bank #220
3850,Savings Bank of Chicago
3852,Arbor Cooperative Bank
3854,National Bank of Indianapolis
3855,Hearthstone Credit Union
3856,Lithuania Bank #406
3857,France Bank #199
3858,Netherlands Bank #344
3862,Greece Bank #4156
3863,Italy Bank #4349
3864,Italy Bank #253
3867,Italy Bank #3890
3870,Germany Bank #391
3872,Germany Bank #198
3875,Spain Bank #743
3878,Italy Bank #229
3880,Belgium Bank #203
3881,France Bank #33
3883,Ireland Bank #222
3884,Spain Bank #206
3885,Germany Bank #3664
3887,Spain Bank #4117
3889,Germany Bank #267
3890,Malta Bank #355
3891,National Bank of Phoenix
3892,First Bank of Seattle
3893,Bank of Columbus
3895,Savings Bank of the South
3896,First Bank of Billings
3901,Arbor Bank
3903,The Pine Trust Bank
3904,National Bank of Sacramento
3905,First Bank of the West
3907,National Bank of Watertown
3909,Netherlands Bank #3874
3911,France Bank #250
3912,Finland Bank #4187
3913,Spain Bank #223
3914,Netherlands Bank #241
3916,Savings Bank of Providence
3917,Greece Bank #1380
3919,Germany Bank #212
3920,Regents Thrift
3922,Hearthstone Thrift
3923,Regents Cooperative Bank
3926,Bank of Arkadelphia
3928,Bank of Huron
3931,Oak Federal Bank
3932,Bank of Topeka
3934,First Bank of Lincoln
3938,First Bank of Huron
3939,France Bank #213
3940,France Bank #3944
3945,The Pine Federal Bank
3946,First Bank of Laramie
3948,Savings Bank of Newport
3949,Mountain Bancorp
3950,Sunrise Thrift
3951,Savings Bank of Omaha
3953,Bank of Madison
3956,Savings Bank of Springfield
3957,Oasis Credit Union
3958,National Bank of Fairfield
3959,Desert Savings Bank
3960,National Bank of Dallas
3961,Plateau Community Bank
3963,Hearthstone Community Bank
3964,Arbor Bank
3966,First Bank of Augusta
3967,Savings Bank of Lincoln
3969,First Bank of Springfield
3970,Plandor Federal Bank
3973,Acme Cooperative Bank
3976,National Bank of Fairfield
3977,National Bank of New York
3978,Oak Thrift
3979,Bank of Butte
3981,Brook Bancorp
3982,National Bank of Denver
3983,Brook Bancorp
3985,National Bank of Sacramento
3988,Savings Bank of New York
3990,Savings Bank of the West
3994,Savings Bank of Montpelier
3997,Mountain Community Bank
4242,National Bank of Portland
4259,Germany Bank #21
4403,Spruce Trust Bank
4503,Golden Thrift
4523,Savings Bank of Detroit
4600,Spain Bank #123
4726,Savings Bank of Huron
4766,First Bank of Fort Wayne
4866,First Bank of Los Angeles
5140,Bank of Laramie
5175,Germany Bank #59
5328,Germany Bank #553
5329,Belgium Bank #252
5365,France Bank #656
5394,First Bank of Danbury
5425,Germany Bank #536
5464,Italy Bank #86
5466,Italy Bank #98
5627,China Bank #9
5836,Savings Bank of New York
6010,Bank of Fort Wayne
6030,Netherlands Bank #55
6052,Germany Bank #317
6075,Savings Bank of Billings
6129,National Bank of Boston
6156,Bank of Cleveland
6179,Acme Trust Bank
6276,National Bank of Tuscon
6625,Portugal Bank #128
6803,First Bank of Lacrosse
7042,Sappo Federal Bank
7195,Spain Bank #68
7478,Savings Bank of Huron
7548,Germany Bank #7
7675,Germany Bank #1
8074,Spain Bank #642
8248,China Bank #39
8354,Bank of Pittsburgh
8455,Slovenia Bank #777
8539,Netherlands Bank #411
8595,First Bank of Watertown
8623,Savings Bank of Fairfield
8771,Sappo Bank
8798,National Bank of Arkadelphia
8805,National Bank of Denver
8823,France Bank #658
8888,Belgium Bank #417
9129,National Bank of Danbury
9209,China Bank #67
9328,China Bank #11
9371,Future Bank
9417,China Bank #23
9482,Future Bancorp
9571,China Bank #65
9587,China Bank #69
9608,China Bank #105
9665,Japan Bank #42
9679,Japan Bank #8
9691,China Bank #24
10057,Japan Bank #13
10060,Japan Bank #22
10099,Japan Bank #46
10232,Regents Thrift
10344,First Bank of Tampa
10404,Italy Bank #685
10441,Germany Bank #133
10581,Japan Bank #63
10605,Japan Bank #49
10614,National Bank of Arkadelphia
10642,First Bank of Springfield
10656,Japan Bank #24
10709,Italy Bank #1106
10813,Japan Bank #55
11030,City National Trust Bank
11056,Germany Bank #214
11107,Savings Bank of New Orleans
11128,Japan Bank #52
11157,Savings Bank of Miami
11296,Savings Bank of Milford
11318,First Bank of Arkadelphia
11402,Japan Bank #53
11405,Savings Bank of Dallas
11471,Willows Community Bank
11474,First Bank of Butte
11642,First Bank of New Orleans
11657,Italy Bank #73
11687,Japan Bank #62
11808,Japan Bank #58
11813,Savings Bank of Fairfield
11838,Japan Bank #235
11852,Netherlands Bank #4
11899,Bank of Butte
11904,Bank of Billings
11974,The Pine Federal Bank
12004,Italy Bank #53
12019,Japan Bank #47
12129,Japan Bank #148
12278,China Bank #62
12359,First Bank of Tuscon
12381,Bank of the East
12446,Bank of Boston
12461,France Bank #192
12513,Germany Bank #74
12561,Spain Bank #37
12585,The Pine Credit Union
12719,Bank of New Orleans
12735,Bank of Hartford
12797,Italy Bank #304
12803,National Bank of Milford
12893,Savings Bank of the South
12963,Belgium Bank #79
12979,Savings Bank of Albany
13029,India Bank #59
13037,First Bank of Hartford
13057,France Bank #35
13067,China Bank #204
13078,India Bank #36
13083,Italy Bank #17
13145,First Bank of Dallas
13154,India Bank #38
13157,India Bank #40
13184,India Bank #17
13264,First Bank of Los Angeles
13265,Germany Bank #137
13327,Hilltop Community Bank
13345,Netherlands Bank #113
13432,Hearthstone Savings Bank
13516,Germany Bank #16
13554,France Bank #8
13649,China Bank #303
13659,India Bank #44
13667,India Bank #127
13858,Italy Bank #97
13862,Germany Bank #58
13917,Bank of Laramie
13959,Belgium Bank #258
13969,India Bank #58
14011,Germany Bank #105
14077,Bank of Portland
14099,Willows Thrift
14233,Germany Bank #57
14254,Italy Bank #587
14277,Belgium Bank #677
14290,Germany Bank #116
14325,National Bank of Huron
14329,Austria Bank #466
14381,India Bank #49
14387,Bank of Montpelier
14433,Bank of Springfield
14549,Savings Bank of Fairfield
14629,India Bank #148
14650,Greece Bank #44
14657,Germany Bank #80
14663,Germany Bank #234
14757,India Bank #41
14766,India Bank #67
14804,Spruce Savings Bank
14814,India Bank #50
14838,India Bank #31
15010,France Bank #290
15040,First Bank of Harrisburg
15055,Germany Bank #92
15085,National Bank of Laramie
15180,Austria Bank #31
15231,Finland Bank #109
15266,India Bank #63
15385,India Bank #54
15447,National Bank of Philadelphia
15625,National Bank of the East
15643,Spain Bank #114
15695,National Bank of Harrisburg
15723,Baltech Community Bank
15730,Regents Trust Bank
15747,First Bank of Lacrosse
15750,Germany Bank #256
15768,First Bank of Madison
15863,Germany Bank #39
15895,India Bank #46
15916,Bank of Augusta
15964,Spain Bank #208
15980,Hilltop Bancorp
16011,Austria Bank #107
16031,Savings Bank of Phoenix
16109,Acme Federal Bank
16136,Heath Savings Bank
16163,First Bank of Boston
16224,Capital Trust Bank
16254,Belgium Bank #152
16333,Plateau Credit Union
16354,Germany Bank #124
16384,India Bank #68
16388,Germany Bank #19
16408,India Bank #702
16418,Germany Bank #62
16431,Germany Bank #159
16450,France Bank #119
16513,India Bank #245
16515,India Bank #33
16535,The Pine Trust Bank
16586,Savings Bank of Danbury
16606,Mountain Bank
16643,Italy Bank #6
16649,Russia Bank #13
16678,Russia Bank #23
16733,Savings Bank of Springfield
16787,Russia Bank #18
16788,Savings Bank of Sacramento
16792,Russia Bank #25
16847,Belgium Bank #886
16871,Italy Bank #194
16927,Russia Bank #21
16941,Spain Bank #66
16991,Netherlands Bank #127
17120,Russia Bank #24
17174,Germany Bank #305
17222,First Bank of Houston
17246,Savings Bank of Newport
17321,Austria Bank #233
17327,First Bank of Danbury
17400,National Bank of Springfield
17401,National Bank of the Valley
17425,Baltech Thrift
17491,Russia Bank #180
17554,Russia Bank #53
17610,Italy Bank #201
17615,Germany Bank #32
17649,Spain Bank #992
17708,Mountain Savings Bank
17729,Bank of Laramie
17732,First Bank of Albany
17748,Bank of Cleveland
17753,City National Bank
17769,Netherlands Bank #507
17854,Italy Bank #293
17861,Germany Bank #207
17863,Spain Bank #341
17907,National Bank of Topeka
18015,First Bank of Tampa
18049,Spain Bank #1392
18067,China Bank #4
18097,China Bank #8
18107,China Bank #37
18135,China Bank #310
18180,Spain Bank #499
18196,China Bank #29
18200,China Bank #10
18230,France Bank #523
18324,Savings Bank of Topeka
18405,Russia Bank #40
18428,Italy Bank #13
18460,Portugal Bank #473
18475,China Bank #20
18511,Bank of Denver
18549,National Bank of Omaha
18617,First Bank of Detroit
18679,Savings Bank of Plattsburg
18819,Savings Bank of Newport
18902,Sea Bank
18951,Italy Bank #527
19023,Portugal Bank #371
19318,China Bank #38
19329,First Bank of Chicago
19353,Russia Bank #34
19474,National Bank of the South
19477,China Bank #41
19535,First Bank of Tampa
19542,Germany Bank #151
19560,Russia Bank #573
19593,China Bank #59
19601,Bank of Portsmouth
19705,China Bank #56
19723,China Bank #15
19729,Heath Community Bank
19740,China Bank #16
19746,First Bank of Tuscon
19777,Spain Bank #1115
19818,China Bank #64
19888,Savings Bank of Butte
19890,Hearthstone Bancorp
19907,Russia Bank #351
19914,Russia Bank #80
19925,Japan Bank #36
20226,Spruce Bank
20248,Ireland Bank #369
20486,UK Bank #34
20727,Germany Bank #164
20822,China Bank #35
20846,Spain Bank #1116
20861,France Bank #747
20898,Bank of Seattle
21142,Netherlands Bank #470
21174,Bank of the West
21258,Brownstone Trust Bank
21360,Bank of Providence
21381,China Bank #30
21387,Greece Bank #77
21550,First Bank of New Orleans
21568,UK Bank #30
21575,First Bank of the North
21611,The Pine Thrift
21615,China Bank #340
21641,Japan Bank #68
21745,Austria Bank #2
21749,Spain Bank #9
21813,First Bank of Los Angeles
21831,Germany Bank #179
21884,UK Bank #33
21918,Belgium Bank #87
21922,Italy Bank #1275
21940,First Bank of Tampa
22062,Germany Bank #851
22091,UK Bank #44
22155,UK Bank #40
22164,Spruce Cooperative Bank
22205,Bank of the West
22345,Savings Bank of Harrisburg
22422,UK Bank #41
22541,UK Bank #47
22575,UK Bank #5
22732,Brook Federal Bank
22736,Plandor Savings Bank
22758,Germany Bank #120
22775,Austria Bank #90
22806,Germany Bank #160
22828,Bank of Chicago
22957,UK Bank #43
23003,Spain Bank #112
23146,China Bank #19
23289,UK Bank #94
23331,UK Bank #62
23344,Germany Bank #99
23370,UK Bank #175
23402,Bank of Fairfield
23497,UK Bank #4
23501,UK Bank #8
23525,France Bank #100
23537,Capital Trust Bank
23538,Bank of the West
23554,France Bank #400
23555,Ireland Bank #96
23673,UK Bank #58
23691,Spain Bank #81
23700,UK Bank #307
23731,UK Bank #51
23776,UK Bank #63
23833,Arbor Federal Bank
23842,First Bank of Dallas
23885,Brownstone Bancorp
23886,UK Bank #208
24032,Desert Bancorp
24132,Savings Bank of Indianapolis
24144,France Bank #52
24161,First Bank of Chicago
24224,UK Bank #53
24424,Bank of Dallas
24482,France Bank #103
24515,Savings Bank of Fairfield
24544,China Bank #225
24550,National Bank of Springfield
24779,Canada Bank #1
24811,Germany Bank #594
24840,Croatia Bank #36
24850,Italy Bank #84
24856,Canada Bank #11
24869,Savings Bank of Seattle
24922,Canada Bank #33
24941,Canada Bank #15
24963,Germany Bank #60
25075,National Bank of Harrisburg
25113,Canada Bank #32
25170,Canada Bank #28
25202,Canada Bank #36
25309,Croatia Bank #546
25337,Austria Bank #1754
25382,France Bank #189
25534,Canada Bank #43
25536,Belgium Bank #26
25547,First Bank of Phoenix
25637,Arbor Bancorp
25665,Canada Bank #25
25749,Fieldstone Federal Bank
25768,France Bank #46
25847,Canada Bank #10
25866,Spain Bank #110
25960,Finland Bank #1277
25981,Bank of Helena
26024,Hilltop Trust Bank
26174,Canada Bank #63
26302,Canada Bank #51
26414,Canada Bank #46
26442,National Bank of Fort Wayne
26463,Germany Bank #286
26580,Lithuania Bank #122
26592,National Bank of Los Angeles
26624,France Bank #54
26698,Savings Bank of Lacrosse
26818,Germany Bank #261
26860,Spain Bank #12
27103,Germany Bank #898
27120,Canada Bank #57
27140,Germany Bank #76
27144,Canada Bank #64
27151,Canada Bank #88
27217,Germany Bank #543
27241,Germany Bank #48
27288,Belgium Bank #226
27291,Canada Bank #423
27365,Netherlands Bank #27
27402,Germany Bank #589
27444,Savings Bank of Fairfield
27535,Germany Bank #862
27564,Savings Bank of Newbury
27616,Italy Bank #243
27621,Australia Bank #20
27637,Spruce Bancorp
27684,Ireland Bank #358
27755,Australia Bank #47
27920,France Bank #1005
27954,Brownstone Community Bank
27995,Australia Bank #16
28094,Australia Bank #27
28183,Slovakia Bank #547
28222,Australia Bank #33
28237,Australia Bank #26
28248,Australia Bank #44
28255,Bank of Augusta
28317,Australia Bank #30
28416,Australia Bank #45
28531,Australia Bank #52
28603,Australia Bank #43
28611,Australia Bank #162
28627,Portugal Bank #5
28628,Australia Bank #38
28629,Italy Bank #364
28663,Australia Bank #28
28690,Australia Bank #34
28693,National Bank of Albany
28694,Desert Bancorp
28711,Germany Bank #360
28717,Germany Bank #711
28726,Netherlands Bank #195
28733,Regents Bank
28768,Australia Bank #63
28771,Savings Bank of Lacrosse
28779,Australia Bank #62
28800,National Bank of Montpelier
28827,First Bank of Tuscon
29003,The Pine Savings Bank
29056,Australia Bank #161
29064,Australia Bank #49
29069,France Bank #444
29089,Acme Thrift
29115,Australia Bank #268
29145,Australia Bank #19
29191,China Bank #374
29251,Bank of Detroit
29279,National Bank of Tuscon
29292,First Bank of Lincoln
29317,Bank of Watertown
29404,Savings Bank of Laramie
29435,France Bank #1273
29467,Japan Bank #35
29620,Australia Bank #48
29645,Australia Bank #85
29664,Australia Bank #39
29685,The Pine Credit Union
29715,China Bank #61
29770,Australia Bank #82
29788,China Bank #26
29794,Italy Bank #392
29802,First Bank of Fort Wayne
29814,Spain Bank #56
29944,China Bank #68
29992,China Bank #71
30039,Australia Bank #248
30075,Australia Bank #401
30150,Australia Bank #125
30380,China Bank #75
30416,China Bank #52
30465,China Bank #119
30474,China Bank #162
30637,Australia Bank #445
30697,France Bank #47
30775,Bank of Augusta
30850,Italy Bank #1481
30851,Bank of Arkadelphia
30974,First Bank of Hartford
31000,First Bank of Fairfield
31001,Bank of Billings
31008,Bank of Lacrosse
31011,Brownstone Federal Bank
31012,Acme Federal Bank
31014,Bank of Pittsburgh
31017,National Bank of Butte
31018,Italy Bank #4344
31019,Bank of Hartford
31021,Savings Bank of Portland
31023,National Bank of Madison
31024,Sunrise Community Bank
31030,National Bank of Newbury
31031,Bank of Boston
31032,France Bank #216
31034,Portugal Bank #236
31035,Germany Bank #3894
31036,Italy Bank #2966
31037,Italy Bank #218
31043,First Bank of Indianapolis
31045,Baltech Bank
31047,Desert Savings Bank
31050,Acme Community Bank
31054,National Bank of Denver
31056,Savings Bank of Philadelphia
31057,Hearthstone Trust Bank
31058,Bank of Watertown
31059,Bank of Fairfield
31060,Desert Bank
31061,Savings Bank of Philadelphia
31062,Savings Bank of New York
31064,France Bank #4123
31065,Spain Bank #224
31067,Germany Bank #231
31069,Greece Bank #801
31070,Slovakia Bank #221
31073,Netherlands Bank #3977
31074,France Bank #232
31075,Germany Bank #4675
31076,Belgium Bank #4337
31077,National Bank of Houston
31078,First Bank of Newbury
31079,First Bank of Newport
31080,The Pine Thrift
31082,First Bank of the East
31083,Savings Bank of Providence
31084,National Bank of New York
31085,Bank of Hartford
31086,Germany Bank #225
31088,Willows Cooperative Bank
31091,Oasis Thrift
31092,Savings Bank of Albany
31093,National Bank of Lacrosse
31094,Heath Thrift
31096,Bank of Denver
31097,Bank of Portsmouth
31098,First Bank of Chicago
31101,Savings Bank of Cleveland
31102,First Bank of Watertown
31103,Bank of Detroit
31104,Regents Bank
31107,Savings Bank of Montpelier
31108,Savings Bank of Danbury
31111,France Bank #4511
31113,Spain Bank #455
31114,Future Bancorp
31116,Bank of Milford
31118,First Bank of Phoenix
31119,Arbor Federal Bank
31120,National Bank of Springfield
31121,Hilltop Bank
31122,Savings Bank of Lincoln
31123,Savings Bank of Watertown
31124,Bank of Indianapolis
31125,Bank of Chicago
31126,Spruce Bancorp
31127,First Bank of Madison
31128,Oasis Community Bank
31129,Desert Trust Bank
31130,Capital Cooperative Bank
31131,Acme Bancorp
31132,Heath Credit Union
31136,Italy Bank #4299
31137,Italy Bank #4989
31138,France Bank #4510
