pattern_transaction_occurrence_id,aml_pattern_id,transaction_id,pattern_transaction_sequence
PATTERN_TXN_0054,AML_PATTERN_0005,TXN_00343760,1
PATTERN_TXN_0055,AML_PATTERN_0005,TXN_00343762,2
PATTERN_TXN_0056,AML_PATTERN_0005,TXN_00343764,3
PATTERN_TXN_0057,AML_PATTERN_0005,TXN_00343766,4
PATTERN_TXN_0058,AML_PATTERN_0005,TXN_00343768,5
PATTERN_TXN_0059,AML_PATTERN_0005,TXN_00343770,6
PATTERN_TXN_0060,AML_PATTERN_0005,TXN_00343772,7
PATTERN_TXN_0061,AML_PATTERN_0005,TXN_00343774,8
PATTERN_TXN_0062,AML_PATTERN_0005,TXN_00343776,9
PATTERN_TXN_0063,AML_PATTERN_0005,TXN_00343778,10
PATTERN_TXN_0064,AML_PATTERN_0005,TXN_00343780,11
PATTERN_TXN_0065,AML_PATTERN_0005,TXN_00343782,12
PATTERN_TXN_0066,AML_PATTERN_0005,TXN_00343784,13
PATTERN_TXN_0067,AML_PATTERN_0005,TXN_00343786,14
PATTERN_TXN_0068,AML_PATTERN_0005,TXN_00343788,15
PATTERN_TXN_0069,AML_PATTERN_0005,TXN_00343790,16
PATTERN_TXN_0070,AML_PATTERN_0005,TXN_00343792,17
PATTERN_TXN_0071,AML_PATTERN_0006,TXN_00376646,1
PATTERN_TXN_0072,AML_PATTERN_0006,TXN_00376648,2
PATTERN_TXN_0073,AML_PATTERN_0006,TXN_00376650,3
PATTERN_TXN_0074,AML_PATTERN_0006,TXN_00376652,4
PATTERN_TXN_0075,AML_PATTERN_0006,TXN_00376654,5
PATTERN_TXN_0076,AML_PATTERN_0007,TXN_00376908,1
PATTERN_TXN_0077,AML_PATTERN_0007,TXN_00376910,2
PATTERN_TXN_0078,AML_PATTERN_0007,TXN_00376913,3
PATTERN_TXN_0079,AML_PATTERN_0007,TXN_00376915,4
PATTERN_TXN_0080,AML_PATTERN_0007,TXN_00376916,5
PATTERN_TXN_0081,AML_PATTERN_0007,TXN_00376919,6
PATTERN_TXN_0082,AML_PATTERN_0007,TXN_00376922,7
PATTERN_TXN_0083,AML_PATTERN_0007,TXN_00376924,8
PATTERN_TXN_0084,AML_PATTERN_0007,TXN_00376926,9
PATTERN_TXN_0085,AML_PATTERN_0007,TXN_00376928,10
PATTERN_TXN_0086,AML_PATTERN_0008,TXN_00376938,1
PATTERN_TXN_0087,AML_PATTERN_0008,TXN_00376940,2
PATTERN_TXN_0088,AML_PATTERN_0008,TXN_00376942,3
PATTERN_TXN_0089,AML_PATTERN_0008,TXN_00376944,4
PATTERN_TXN_0090,AML_PATTERN_0008,TXN_00376946,5
PATTERN_TXN_0091,AML_PATTERN_0008,TXN_00376948,6
PATTERN_TXN_0092,AML_PATTERN_0008,TXN_00376950,7
PATTERN_TXN_0093,AML_PATTERN_0008,TXN_00376952,8
PATTERN_TXN_0094,AML_PATTERN_0008,TXN_00376954,9
PATTERN_TXN_0095,AML_PATTERN_0008,TXN_00376956,10
PATTERN_TXN_0096,AML_PATTERN_0008,TXN_00376958,11
PATTERN_TXN_0097,AML_PATTERN_0008,TXN_00376960,12
PATTERN_TXN_0098,AML_PATTERN_0009,TXN_00376996,1
PATTERN_TXN_0099,AML_PATTERN_0009,TXN_00376998,2
PATTERN_TXN_0100,AML_PATTERN_0010,TXN_00383722,1
PATTERN_TXN_0101,AML_PATTERN_0010,TXN_00383723,2
PATTERN_TXN_0102,AML_PATTERN_0010,TXN_00383725,3
PATTERN_TXN_0103,AML_PATTERN_0010,TXN_00383726,4
PATTERN_TXN_0104,AML_PATTERN_0010,TXN_00383727,5
PATTERN_TXN_0105,AML_PATTERN_0010,TXN_00383729,6
PATTERN_TXN_0106,AML_PATTERN_0010,TXN_00383730,7
PATTERN_TXN_0107,AML_PATTERN_0010,TXN_00383732,8
PATTERN_TXN_0108,AML_PATTERN_0010,TXN_00383733,9
PATTERN_TXN_0109,AML_PATTERN_0010,TXN_00383735,10
PATTERN_TXN_0110,AML_PATTERN_0010,TXN_00383737,11
PATTERN_TXN_0111,AML_PATTERN_0010,TXN_00383739,12
PATTERN_TXN_0112,AML_PATTERN_0010,TXN_00383740,13
PATTERN_TXN_0113,AML_PATTERN_0011,TXN_00418369,1
PATTERN_TXN_0114,AML_PATTERN_0011,TXN_00418371,2
PATTERN_TXN_0115,AML_PATTERN_0011,TXN_00418373,3
PATTERN_TXN_0116,AML_PATTERN_0011,TXN_00418375,4
PATTERN_TXN_0117,AML_PATTERN_0011,TXN_00418377,5
PATTERN_TXN_0118,AML_PATTERN_0011,TXN_00418378,6
PATTERN_TXN_0119,AML_PATTERN_0011,TXN_00418379,7
PATTERN_TXN_0120,AML_PATTERN_0011,TXN_00418381,8
PATTERN_TXN_0121,AML_PATTERN_0012,TXN_00444468,1
PATTERN_TXN_0122,AML_PATTERN_0012,TXN_00444469,2
PATTERN_TXN_0123,AML_PATTERN_0012,TXN_00444470,3
PATTERN_TXN_0124,AML_PATTERN_0012,TXN_00444471,4
PATTERN_TXN_0125,AML_PATTERN_0013,TXN_00477796,1
PATTERN_TXN_0126,AML_PATTERN_0013,TXN_00477797,2
PATTERN_TXN_0127,AML_PATTERN_0014,TXN_00494407,1
PATTERN_TXN_0128,AML_PATTERN_0014,TXN_00494409,2
PATTERN_TXN_0129,AML_PATTERN_0014,TXN_00494411,3
PATTERN_TXN_0130,AML_PATTERN_0014,TXN_00494413,4
PATTERN_TXN_0131,AML_PATTERN_0014,TXN_00494415,5
PATTERN_TXN_0132,AML_PATTERN_0014,TXN_00494416,6
PATTERN_TXN_0133,AML_PATTERN_0014,TXN_00494418,7
PATTERN_TXN_0134,AML_PATTERN_0014,TXN_00494420,8
PATTERN_TXN_0135,AML_PATTERN_0014,TXN_00494422,9
PATTERN_TXN_0136,AML_PATTERN_0014,TXN_00494424,10
PATTERN_TXN_0137,AML_PATTERN_0014,TXN_00494426,11
PATTERN_TXN_0138,AML_PATTERN_0014,TXN_00494428,12
PATTERN_TXN_0139,AML_PATTERN_0015,TXN_00527946,1
PATTERN_TXN_0140,AML_PATTERN_0015,TXN_00527947,2
PATTERN_TXN_0141,AML_PATTERN_0015,TXN_00527948,3
PATTERN_TXN_0142,AML_PATTERN_0015,TXN_00527949,4
PATTERN_TXN_0143,AML_PATTERN_0015,TXN_00527950,5
PATTERN_TXN_0144,AML_PATTERN_0015,TXN_00527951,6
PATTERN_TXN_0145,AML_PATTERN_0015,TXN_00527952,7
PATTERN_TXN_0146,AML_PATTERN_0015,TXN_00527953,8
PATTERN_TXN_0147,AML_PATTERN_0015,TXN_00527954,9
PATTERN_TXN_0148,AML_PATTERN_0015,TXN_00527955,10
PATTERN_TXN_0149,AML_PATTERN_0015,TXN_00527956,11
PATTERN_TXN_0150,AML_PATTERN_0015,TXN_00527957,12
PATTERN_TXN_0151,AML_PATTERN_0015,TXN_00527958,13
PATTERN_TXN_0152,AML_PATTERN_0015,TXN_00527959,14
PATTERN_TXN_0153,AML_PATTERN_0015,TXN_00527960,15
PATTERN_TXN_0154,AML_PATTERN_0015,TXN_00527961,16
PATTERN_TXN_0155,AML_PATTERN_0016,TXN_00535663,1
PATTERN_TXN_0156,AML_PATTERN_0016,TXN_00535665,2
PATTERN_TXN_0157,AML_PATTERN_0016,TXN_00535667,3
PATTERN_TXN_0158,AML_PATTERN_0016,TXN_00535669,4
PATTERN_TXN_0159,AML_PATTERN_0016,TXN_00535671,5
PATTERN_TXN_0160,AML_PATTERN_0016,TXN_00535673,6
PATTERN_TXN_0161,AML_PATTERN_0016,TXN_00535675,7
PATTERN_TXN_0162,AML_PATTERN_0016,TXN_00535677,8
PATTERN_TXN_0163,AML_PATTERN_0017,TXN_00545062,1
PATTERN_TXN_0164,AML_PATTERN_0017,TXN_00545063,2
PATTERN_TXN_0165,AML_PATTERN_0017,TXN_00545064,3
PATTERN_TXN_0166,AML_PATTERN_0018,TXN_00578843,1
PATTERN_TXN_0167,AML_PATTERN_0018,TXN_00578845,2
PATTERN_TXN_0168,AML_PATTERN_0018,TXN_00578847,3
PATTERN_TXN_0169,AML_PATTERN_0018,TXN_00578850,4
PATTERN_TXN_0170,AML_PATTERN_0018,TXN_00578851,5
PATTERN_TXN_0171,AML_PATTERN_0018,TXN_00578852,6
PATTERN_TXN_0172,AML_PATTERN_0018,TXN_00578853,7
PATTERN_TXN_0173,AML_PATTERN_0018,TXN_00578854,8
PATTERN_TXN_0174,AML_PATTERN_0018,TXN_00578856,9
PATTERN_TXN_0175,AML_PATTERN_0018,TXN_00578858,10
PATTERN_TXN_0176,AML_PATTERN_0018,TXN_00578860,11
PATTERN_TXN_0177,AML_PATTERN_0018,TXN_00578862,12
PATTERN_TXN_0178,AML_PATTERN_0018,TXN_00578863,13
PATTERN_TXN_0179,AML_PATTERN_0018,TXN_00578864,14
PATTERN_TXN_0180,AML_PATTERN_0018,TXN_00578866,15
PATTERN_TXN_0181,AML_PATTERN_0018,TXN_00578869,16
PATTERN_TXN_0182,AML_PATTERN_0018,TXN_00578870,17
PATTERN_TXN_0183,AML_PATTERN_0018,TXN_00578872,18
PATTERN_TXN_0184,AML_PATTERN_0018,TXN_00578873,19
PATTERN_TXN_0185,AML_PATTERN_0018,TXN_00578874,20
PATTERN_TXN_0186,AML_PATTERN_0018,TXN_00578876,21
PATTERN_TXN_0187,AML_PATTERN_0018,TXN_00578879,22
PATTERN_TXN_0188,AML_PATTERN_0018,TXN_00578880,23
PATTERN_TXN_0189,AML_PATTERN_0018,TXN_00578881,24
PATTERN_TXN_0190,AML_PATTERN_0018,TXN_00578882,25
PATTERN_TXN_0191,AML_PATTERN_0018,TXN_00578884,26
PATTERN_TXN_0192,AML_PATTERN_0018,TXN_00578886,27
PATTERN_TXN_0193,AML_PATTERN_0018,TXN_00578888,28
PATTERN_TXN_0194,AML_PATTERN_0018,TXN_00578890,29
PATTERN_TXN_0195,AML_PATTERN_0018,TXN_00578893,30
PATTERN_TXN_0196,AML_PATTERN_0018,TXN_00578895,31
PATTERN_TXN_0197,AML_PATTERN_0018,TXN_00578897,32
PATTERN_TXN_0198,AML_PATTERN_0019,TXN_00585462,1
PATTERN_TXN_0199,AML_PATTERN_0019,TXN_00585464,2
PATTERN_TXN_0200,AML_PATTERN_0019,TXN_00585465,3
PATTERN_TXN_0201,AML_PATTERN_0019,TXN_00585467,4
PATTERN_TXN_0202,AML_PATTERN_0019,TXN_00585470,5
PATTERN_TXN_0203,AML_PATTERN_0019,TXN_00585473,6
PATTERN_TXN_0204,AML_PATTERN_0019,TXN_00585474,7
PATTERN_TXN_0205,AML_PATTERN_0019,TXN_00585475,8
PATTERN_TXN_0206,AML_PATTERN_0019,TXN_00585478,9
PATTERN_TXN_0207,AML_PATTERN_0019,TXN_00585479,10
PATTERN_TXN_0208,AML_PATTERN_0020,TXN_00586264,1
PATTERN_TXN_0209,AML_PATTERN_0020,TXN_00586266,2
PATTERN_TXN_0210,AML_PATTERN_0020,TXN_00586268,3
PATTERN_TXN_0211,AML_PATTERN_0020,TXN_00586270,4
PATTERN_TXN_0212,AML_PATTERN_0020,TXN_00586271,5
PATTERN_TXN_0213,AML_PATTERN_0020,TXN_00586272,6
PATTERN_TXN_0214,AML_PATTERN_0020,TXN_00586274,7
PATTERN_TXN_0215,AML_PATTERN_0020,TXN_00586275,8
PATTERN_TXN_0216,AML_PATTERN_0020,TXN_00586277,9
PATTERN_TXN_0217,AML_PATTERN_0020,TXN_00586279,10
PATTERN_TXN_0218,AML_PATTERN_0021,TXN_00595313,1
PATTERN_TXN_0219,AML_PATTERN_0021,TXN_00595315,2
PATTERN_TXN_0220,AML_PATTERN_0022,TXN_00602697,1
PATTERN_TXN_0221,AML_PATTERN_0022,TXN_00602698,2
PATTERN_TXN_0222,AML_PATTERN_0023,TXN_00611980,1
PATTERN_TXN_0223,AML_PATTERN_0024,TXN_00619282,1
PATTERN_TXN_0224,AML_PATTERN_0024,TXN_00619283,2
PATTERN_TXN_0225,AML_PATTERN_0025,TXN_00628237,1
PATTERN_TXN_0226,AML_PATTERN_0026,TXN_00628270,1
PATTERN_TXN_0227,AML_PATTERN_0026,TXN_00628272,2
PATTERN_TXN_0228,AML_PATTERN_0026,TXN_00628274,3
PATTERN_TXN_0229,AML_PATTERN_0026,TXN_00628276,4
PATTERN_TXN_0230,AML_PATTERN_0026,TXN_00628277,5
PATTERN_TXN_0231,AML_PATTERN_0026,TXN_00628279,6
PATTERN_TXN_0232,AML_PATTERN_0026,TXN_00628281,7
PATTERN_TXN_0233,AML_PATTERN_0026,TXN_00628282,8
PATTERN_TXN_0234,AML_PATTERN_0026,TXN_00628283,9
PATTERN_TXN_0235,AML_PATTERN_0026,TXN_00628284,10
PATTERN_TXN_0236,AML_PATTERN_0026,TXN_00628285,11
PATTERN_TXN_0237,AML_PATTERN_0027,TXN_00644819,1
PATTERN_TXN_0238,AML_PATTERN_0027,TXN_00644821,2
PATTERN_TXN_0239,AML_PATTERN_0027,TXN_00644823,3
PATTERN_TXN_0240,AML_PATTERN_0027,TXN_00644825,4
PATTERN_TXN_0241,AML_PATTERN_0027,TXN_00644827,5
PATTERN_TXN_0242,AML_PATTERN_0027,TXN_00644829,6
PATTERN_TXN_0243,AML_PATTERN_0027,TXN_00644831,7
PATTERN_TXN_0244,AML_PATTERN_0027,TXN_00644833,8
PATTERN_TXN_0245,AML_PATTERN_0027,TXN_00644835,9
PATTERN_TXN_0246,AML_PATTERN_0027,TXN_00644837,10
PATTERN_TXN_0247,AML_PATTERN_0027,TXN_00644839,11
PATTERN_TXN_0248,AML_PATTERN_0027,TXN_00644841,12
PATTERN_TXN_0249,AML_PATTERN_0027,TXN_00644843,13
PATTERN_TXN_0250,AML_PATTERN_0028,TXN_00678517,1
PATTERN_TXN_0251,AML_PATTERN_0028,TXN_00678518,2
PATTERN_TXN_0252,AML_PATTERN_0028,TXN_00678520,3
PATTERN_TXN_0253,AML_PATTERN_0028,TXN_00678522,4
PATTERN_TXN_0254,AML_PATTERN_0028,TXN_00678524,5
PATTERN_TXN_0255,AML_PATTERN_0029,TXN_00695425,1
PATTERN_TXN_0256,AML_PATTERN_0029,TXN_00695427,2
PATTERN_TXN_0257,AML_PATTERN_0029,TXN_00695429,3
PATTERN_TXN_0258,AML_PATTERN_0029,TXN_00695431,4
PATTERN_TXN_0259,AML_PATTERN_0029,TXN_00695433,5
PATTERN_TXN_0260,AML_PATTERN_0029,TXN_00695435,6
PATTERN_TXN_0261,AML_PATTERN_0029,TXN_00695437,7
PATTERN_TXN_0262,AML_PATTERN_0029,TXN_00695439,8
PATTERN_TXN_0263,AML_PATTERN_0029,TXN_00695441,9
PATTERN_TXN_0264,AML_PATTERN_0029,TXN_00695443,10
PATTERN_TXN_0265,AML_PATTERN_0029,TXN_00695445,11
PATTERN_TXN_0266,AML_PATTERN_0029,TXN_00695447,12
PATTERN_TXN_0267,AML_PATTERN_0029,TXN_00695449,13
PATTERN_TXN_0268,AML_PATTERN_0029,TXN_00695451,14
PATTERN_TXN_0269,AML_PATTERN_0029,TXN_00695453,15
PATTERN_TXN_0270,AML_PATTERN_0029,TXN_00695455,16
PATTERN_TXN_0271,AML_PATTERN_0029,TXN_00695457,17
PATTERN_TXN_0272,AML_PATTERN_0029,TXN_00695459,18
PATTERN_TXN_0273,AML_PATTERN_0029,TXN_00695461,19
PATTERN_TXN_0274,AML_PATTERN_0029,TXN_00695463,20
PATTERN_TXN_0275,AML_PATTERN_0029,TXN_00695465,21
PATTERN_TXN_0276,AML_PATTERN_0029,TXN_00695467,22
PATTERN_TXN_0277,AML_PATTERN_0029,TXN_00695469,23
PATTERN_TXN_0278,AML_PATTERN_0029,TXN_00695471,24
PATTERN_TXN_0279,AML_PATTERN_0029,TXN_00695473,25
PATTERN_TXN_0280,AML_PATTERN_0030,TXN_00762389,1
PATTERN_TXN_0281,AML_PATTERN_0030,TXN_00762391,2
PATTERN_TXN_0282,AML_PATTERN_0030,TXN_00762393,3
PATTERN_TXN_0283,AML_PATTERN_0031,TXN_00812677,1
PATTERN_TXN_0284,AML_PATTERN_0031,TXN_00812679,2
PATTERN_TXN_0285,AML_PATTERN_0031,TXN_00812681,3
PATTERN_TXN_0286,AML_PATTERN_0031,TXN_00812683,4
PATTERN_TXN_0287,AML_PATTERN_0031,TXN_00812684,5
PATTERN_TXN_0288,AML_PATTERN_0031,TXN_00812686,6
PATTERN_TXN_0289,AML_PATTERN_0031,TXN_00812688,7
PATTERN_TXN_0290,AML_PATTERN_0031,TXN_00812689,8
PATTERN_TXN_0291,AML_PATTERN_0031,TXN_00812691,9
PATTERN_TXN_0292,AML_PATTERN_0031,TXN_00812693,10
PATTERN_TXN_0293,AML_PATTERN_0031,TXN_00812694,11
PATTERN_TXN_0294,AML_PATTERN_0031,TXN_00812695,12
PATTERN_TXN_0295,AML_PATTERN_0031,TXN_00812697,13
PATTERN_TXN_0296,AML_PATTERN_0031,TXN_00812699,14
PATTERN_TXN_0297,AML_PATTERN_0031,TXN_00812701,15
PATTERN_TXN_0298,AML_PATTERN_0031,TXN_00812703,16
PATTERN_TXN_0299,AML_PATTERN_0031,TXN_00812705,17
PATTERN_TXN_0300,AML_PATTERN_0031,TXN_00812706,18
PATTERN_TXN_0301,AML_PATTERN_0031,TXN_00812707,19
PATTERN_TXN_0302,AML_PATTERN_0031,TXN_00812708,20
PATTERN_TXN_0303,AML_PATTERN_0031,TXN_00812710,21
PATTERN_TXN_0304,AML_PATTERN_0031,TXN_00812711,22
PATTERN_TXN_0305,AML_PATTERN_0032,TXN_00829648,1
PATTERN_TXN_0306,AML_PATTERN_0033,TXN_00853268,1
PATTERN_TXN_0307,AML_PATTERN_0033,TXN_00853271,2
PATTERN_TXN_0308,AML_PATTERN_0033,TXN_00853272,3
PATTERN_TXN_0309,AML_PATTERN_0033,TXN_00853275,4
PATTERN_TXN_0310,AML_PATTERN_0033,TXN_00853276,5
PATTERN_TXN_0311,AML_PATTERN_0033,TXN_00853279,6
PATTERN_TXN_0312,AML_PATTERN_0033,TXN_00853280,7
PATTERN_TXN_0313,AML_PATTERN_0033,TXN_00853283,8
PATTERN_TXN_0314,AML_PATTERN_0033,TXN_00853285,9
PATTERN_TXN_0315,AML_PATTERN_0033,TXN_00853286,10
PATTERN_TXN_0316,AML_PATTERN_0033,TXN_00853287,11
PATTERN_TXN_0317,AML_PATTERN_0033,TXN_00853289,12
PATTERN_TXN_0318,AML_PATTERN_0033,TXN_00853290,13
PATTERN_TXN_0319,AML_PATTERN_0033,TXN_00853291,14
PATTERN_TXN_0320,AML_PATTERN_0033,TXN_00853292,15
PATTERN_TXN_0321,AML_PATTERN_0033,TXN_00853294,16
PATTERN_TXN_0322,AML_PATTERN_0033,TXN_00853295,17
PATTERN_TXN_0323,AML_PATTERN_0033,TXN_00853296,18
PATTERN_TXN_0324,AML_PATTERN_0033,TXN_00853297,19
PATTERN_TXN_0325,AML_PATTERN_0033,TXN_00853299,20
PATTERN_TXN_0326,AML_PATTERN_0034,TXN_00879902,1
PATTERN_TXN_0327,AML_PATTERN_0034,TXN_00879903,2
PATTERN_TXN_0328,AML_PATTERN_0034,TXN_00879905,3
PATTERN_TXN_0329,AML_PATTERN_0034,TXN_00879908,4
PATTERN_TXN_0330,AML_PATTERN_0034,TXN_00879910,5
PATTERN_TXN_0331,AML_PATTERN_0034,TXN_00879912,6
PATTERN_TXN_0332,AML_PATTERN_0034,TXN_00879913,7
PATTERN_TXN_0333,AML_PATTERN_0034,TXN_00879914,8
PATTERN_TXN_0334,AML_PATTERN_0034,TXN_00879916,9
PATTERN_TXN_0335,AML_PATTERN_0034,TXN_00879918,10
PATTERN_TXN_0336,AML_PATTERN_0034,TXN_00879920,11
PATTERN_TXN_0337,AML_PATTERN_0034,TXN_00879923,12
PATTERN_TXN_0338,AML_PATTERN_0034,TXN_00879925,13
PATTERN_TXN_0339,AML_PATTERN_0034,TXN_00879927,14
PATTERN_TXN_0340,AML_PATTERN_0034,TXN_00879929,15
PATTERN_TXN_0341,AML_PATTERN_0034,TXN_00879932,16
PATTERN_TXN_0342,AML_PATTERN_0034,TXN_00879934,17
PATTERN_TXN_0343,AML_PATTERN_0034,TXN_00879936,18
PATTERN_TXN_0344,AML_PATTERN_0034,TXN_00879938,19
PATTERN_TXN_0345,AML_PATTERN_0034,TXN_00879940,20
PATTERN_TXN_0346,AML_PATTERN_0034,TXN_00879942,21
PATTERN_TXN_0347,AML_PATTERN_0034,TXN_00879943,22
PATTERN_TXN_0348,AML_PATTERN_0035,TXN_00887446,1
PATTERN_TXN_0349,AML_PATTERN_0035,TXN_00887447,2
PATTERN_TXN_0350,AML_PATTERN_0036,TXN_00903798,1
PATTERN_TXN_0351,AML_PATTERN_0036,TXN_00903800,2
PATTERN_TXN_0352,AML_PATTERN_0036,TXN_00903802,3
PATTERN_TXN_0353,AML_PATTERN_0036,TXN_00903804,4
PATTERN_TXN_0354,AML_PATTERN_0036,TXN_00903805,5
PATTERN_TXN_0355,AML_PATTERN_0036,TXN_00903807,6
PATTERN_TXN_0356,AML_PATTERN_0036,TXN_00903809,7
PATTERN_TXN_0357,AML_PATTERN_0036,TXN_00903811,8
PATTERN_TXN_0358,AML_PATTERN_0036,TXN_00903813,9
PATTERN_TXN_0359,AML_PATTERN_0036,TXN_00903815,10
PATTERN_TXN_0360,AML_PATTERN_0037,TXN_00920850,1
PATTERN_TXN_0361,AML_PATTERN_0037,TXN_00920851,2
PATTERN_TXN_0362,AML_PATTERN_0038,TXN_00929958,1
PATTERN_TXN_0363,AML_PATTERN_0038,TXN_00929960,2
PATTERN_TXN_0364,AML_PATTERN_0038,TXN_00929963,3
PATTERN_TXN_0365,AML_PATTERN_0038,TXN_00929965,4
PATTERN_TXN_0366,AML_PATTERN_0038,TXN_00929966,5
PATTERN_TXN_0367,AML_PATTERN_0038,TXN_00929969,6
PATTERN_TXN_0368,AML_PATTERN_0038,TXN_00929971,7
PATTERN_TXN_0369,AML_PATTERN_0039,TXN_00929990,1
PATTERN_TXN_0370,AML_PATTERN_0039,TXN_00929992,2
PATTERN_TXN_0371,AML_PATTERN_0040,TXN_00963524,1
PATTERN_TXN_0372,AML_PATTERN_0040,TXN_00963526,2
PATTERN_TXN_0373,AML_PATTERN_0040,TXN_00963528,3
PATTERN_TXN_0374,AML_PATTERN_0040,TXN_00963529,4
PATTERN_TXN_0375,AML_PATTERN_0040,TXN_00963531,5
PATTERN_TXN_0376,AML_PATTERN_0040,TXN_00963533,6
PATTERN_TXN_0377,AML_PATTERN_0040,TXN_00963535,7
PATTERN_TXN_0378,AML_PATTERN_0040,TXN_00963537,8
PATTERN_TXN_0379,AML_PATTERN_0040,TXN_00963539,9
PATTERN_TXN_0380,AML_PATTERN_0040,TXN_00963541,10
PATTERN_TXN_0381,AML_PATTERN_0040,TXN_00963542,11
PATTERN_TXN_0382,AML_PATTERN_0040,TXN_00963544,12
PATTERN_TXN_0383,AML_PATTERN_0040,TXN_00963545,13
PATTERN_TXN_0384,AML_PATTERN_0040,TXN_00963546,14
PATTERN_TXN_0385,AML_PATTERN_0041,TXN_01030761,1
PATTERN_TXN_0386,AML_PATTERN_0041,TXN_01030762,2
PATTERN_TXN_0387,AML_PATTERN_0042,TXN_01037363,1
PATTERN_TXN_0388,AML_PATTERN_0042,TXN_01037364,2
PATTERN_TXN_0389,AML_PATTERN_0042,TXN_01037366,3
PATTERN_TXN_0390,AML_PATTERN_0042,TXN_01037368,4
PATTERN_TXN_0391,AML_PATTERN_0043,TXN_01047225,1
PATTERN_TXN_0392,AML_PATTERN_0043,TXN_01047227,2
PATTERN_TXN_0393,AML_PATTERN_0043,TXN_01047229,3
PATTERN_TXN_0394,AML_PATTERN_0043,TXN_01047231,4
PATTERN_TXN_0395,AML_PATTERN_0043,TXN_01047233,5
PATTERN_TXN_0396,AML_PATTERN_0043,TXN_01047235,6
PATTERN_TXN_0397,AML_PATTERN_0043,TXN_01047237,7
